epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,1.0001429319381714,0.0,1.0084785223007202,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0018574563,0.0010263869,0.0035911629,0.00068046746,0.0015541543,0.0009000000427477062,nan,nan,-0.00067861826,0.00020880607,1.9,263.77978515625,7.7
1,0.9981704950332642,0.0,1.008884072303772,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.002190316,0.00072292297,0.0031881013,0.0012181579,0.0021647436,0.0008100000384729356,nan,nan,-0.0014354859,0.00022036355,1.5,263.77978515625,7.8
2,0.9988318085670471,0.0,1.0087107419967651,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0011898486,0.0007443343,0.0023713987,0.00016141415,0.0008289235,0.0007290000503417104,nan,nan,-0.006791878,0.0004494189,1.5,263.77978515625,7.8
3,0.998837411403656,0.0,1.008677363395691,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0012929067,0.0004750883,0.002049967,0.0007787028,0.0010518183,0.0006561000715009868,nan,nan,-0.0053799925,0.0003287681,1.5,263.77978515625,7.8
4,0.9996183514595032,0.0,1.0087378025054932,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0016289367,0.00059783104,0.0023697205,0.0006041792,0.0016319009,0.0005904900433961303,nan,nan,-0.0015544024,0.00019028925,1.5,263.77978515625,7.8
5,0.9978178143501282,0.0,1.0088305473327637,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0011980389,0.00069967814,0.0023210119,0.0003959473,0.00091088394,0.0005314410547725857,nan,nan,-0.0030597507,0.00025416914,1.5,264.390380859375,7.8
6,0.9979227781295776,0.0,1.0088560581207275,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0017828492,0.0006841815,0.002866337,0.0006746024,0.001749958,0.00047829695977270604,nan,nan,-0.0020812342,0.00017653371,1.6,264.390380859375,7.8
7,0.9979065656661987,0.0,1.0088484287261963,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0011811745,0.0008432076,0.0025851321,0.00017604306,0.00089698297,0.0004304672533180565,nan,nan,-0.0026648147,0.00020589889,1.5,264.390380859375,7.8
8,0.9991381764411926,0.0,1.0088692903518677,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0012832575,0.0005651214,0.002478884,0.0006714866,0.0011543778,0.00038742052274756136,nan,nan,-0.0030973814,0.00023672263,1.5,264.390380859375,7.8
9,0.9992935061454773,0.0,1.0089155435562134,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.003256293,0.0021248532,0.007770228,0.0009261782,0.002523195,0.0003486784757114947,nan,nan,0.0017514213,0.00019604366,1.5,264.390380859375,7.8
10,0.9991896152496338,0.0,1.0089836120605469,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0023116828,0.00089775084,0.003695046,0.0009971583,0.0023421026,0.00031381062290165574,nan,nan,-0.001209465,0.00016646646,1.6,264.390380859375,7.8
11,0.9970828294754028,0.0,1.009107232093811,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0023297174,0.00093643327,0.003955701,0.0009296649,0.00214409,0.0002824295632308349,nan,nan,-0.0011988945,0.00019241334,1.5,264.390380859375,7.8
12,0.9998944401741028,0.0,1.0092610120773315,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.002104569,0.00062314275,0.0031036234,0.0013172793,0.0019454281,0.00025418660952709616,nan,nan,-0.0016684092,0.00020111934,1.5,264.390380859375,7.8
13,0.9992210865020752,0.0,1.0093984603881836,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0016872732,0.00071571453,0.0032749816,0.00093342975,0.0015356692,0.00022876793809700757,nan,nan,-0.0026975572,0.00025809713,1.5,264.390380859375,7.8
14,0.9975003004074097,0.0,1.0095126628875732,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0030503199,0.001321832,0.0057408526,0.0012823754,0.0030891374,0.00020589114428730683,nan,nan,0.00014741013,0.00013803861,1.5,264.537841796875,7.8
15,0.9968982934951782,0.0,1.009591817855835,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0017065594,0.00058068754,0.0030533976,0.0011521677,0.0015694657,0.00018530203378759326,nan,nan,-0.0016616384,0.00019252962,1.6,265.02099609375,7.8
16,0.9970500469207764,0.0,1.0096251964569092,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0030889204,0.0010911187,0.005080891,0.0015563624,0.0033049085,0.00016677183302817866,nan,nan,-0.0011379585,0.00019477782,1.5,265.02099609375,7.8
