epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,9.131916999816895,0.0,8.177600860595703,0.0,0,0,0,0,0,0,1,1,1,1,0,0,False,2.6700287,1.5505475,5.3755493,0.53740364,2.281013,0.008999999798834325,0.1460795,0.076029144,-0.5817712,0.18764973,25.9,1.005126953125,13.5
1,7.9994635581970215,0.0,6.994729042053223,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,2.7463233,1.3786906,5.1685476,0.7409385,2.6458306,0.008099999651312828,0.22803764,0.106066726,-0.48707405,0.23833781,28.3,1.005126953125,13.5
2,6.581143379211426,0.0,5.991171836853027,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,2.5435522,1.3135817,4.673182,0.77454704,2.3764389,0.007289999350905419,0.31229818,0.14250696,-0.3781476,0.22669691,28.3,1.005126953125,13.5
3,5.7366943359375,0.0,5.2246012687683105,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,2.3010004,1.2974883,4.2492237,0.72658515,2.0994997,0.006560999248176813,0.3951281,0.18035035,-0.30707636,0.21309845,28.3,1.005126953125,13.5
4,4.390659332275391,0.0,4.681178092956543,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.904601,1.0544437,3.4109316,0.68074477,1.7273777,0.005904899490997195,0.47721803,0.22154737,-0.25815734,0.19723268,28.2,1.005126953125,13.5
5,5.43154764175415,0.0,4.276220321655273,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,2.2380064,1.3218151,4.0539823,0.79220504,2.0137742,0.00531440949998796,0.5150525,0.23342222,-0.28679928,0.22974484,28.3,1.005126953125,13.5
6,3.9502389430999756,0.0,3.9167938232421875,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.7664424,1.027133,3.1467698,0.6733744,1.587846,0.004782968759536744,0.60080403,0.27056983,-0.18897592,0.15150131,28.3,1.005126953125,13.5
7,3.841601848602295,0.0,3.6113219261169434,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.6157075,0.9965316,2.9183068,0.5952956,1.4635861,0.0043046717997640375,0.6524897,0.3183937,-0.18072255,0.1665925,28.3,1.005126953125,13.5
8,3.047428846359253,0.0,3.3379600048065186,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.3047123,0.74710006,2.2689958,0.552068,1.1863902,0.0038742044940590858,0.69777846,0.33411455,-0.14698452,0.12475404,28.3,1.005126953125,13.5
9,3.3514201641082764,0.0,3.1698336601257324,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.5159025,0.9591021,2.730663,0.5308754,1.38537,0.003486784128472209,0.73504156,0.35198572,-0.13693337,0.12175163,28.3,1.005615234375,13.5
10,3.3695154190063477,0.0,3.003710985183716,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.4640293,0.94090456,2.6446106,0.48667392,1.3414911,0.003138105757534504,0.7694667,0.35954705,-0.12673752,0.115472585,28.3,1.005615234375,13.5
11,2.7550277709960938,0.0,2.852388620376587,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.2779546,0.791082,2.2631128,0.44003898,1.1769464,0.0028242952656000854,0.8360575,0.40746042,-0.17626782,0.1736226,28.3,1.005615234375,13.5
12,2.473337173461914,0.0,2.7282984256744385,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.1445677,0.731767,2.047965,0.36470005,1.0620984,0.0025418657809495927,0.843925,0.39421687,-0.11154753,0.11033175,28.3,1.005615234375,13.5
13,2.7375192642211914,0.0,2.652670383453369,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.2446884,0.812456,2.2407544,0.37454528,1.161921,0.0022876791190356016,0.8853573,0.4385456,-0.109892495,0.11189878,28.3,1.005615234375,13.5
14,2.5076301097869873,0.0,2.5663766860961914,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.2267063,0.8039868,2.208432,0.36129582,1.1494962,0.0020589112071320416,0.92887515,0.4684991,-0.10073743,0.100170255,28.3,1.005615234375,13.5
15,2.389740228652954,0.0,2.4976038932800293,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.0324914,0.6739277,1.851778,0.3020768,0.9714121,0.0018530200235545636,0.92106694,0.43550047,-0.10841569,0.12185397,28.3,1.005615234375,13.5
16,2.3679256439208984,0.0,2.4421780109405518,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.1659185,0.7762832,2.1058822,0.3243015,1.1005671,0.0016677180421538651,0.99982613,0.47208604,-0.14784187,0.15547158,28.4,1.0078125,13.5
17,2.2818377017974854,0.0,2.393137216567993,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.1022657,0.7238769,1.9768344,0.31202838,1.0430539,0.0015009462484158575,0.96496457,0.4690567,-0.0934813,0.09984046,28.3,1.0078125,13.5
18,2.837918758392334,0.0,2.34012508392334,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.3230215,0.8674605,2.3682923,0.37201774,1.2552254,0.0013508516130968928,0.98727936,0.4824178,-0.13912198,0.15000267,28.3,1.0078125,13.5
19,2.048286199569702,0.0,2.309927463531494,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,0.914659,0.6017442,1.6379366,0.2531898,0.8697774,0.0012157664517872036,1.0109953,0.50280637,-0.08691549,0.09175601,28.3,1.0078125,13.5
20,2.2334353923797607,0.0,2.2698183059692383,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.0115963,0.7023833,1.8529906,0.24885146,0.9629837,0.0010941897751763463,1.0353789,0.52306706,-0.08605349,0.093819596,31.2,1.008056640625,13.5
21,2.3061254024505615,0.0,2.240917921066284,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.0789936,0.73400176,1.9570558,0.27556962,1.0292586,0.0009847708395682275,1.0740105,0.5286111,-0.08402314,0.09298011,28.1,1.008056640625,13.5
22,2.150508165359497,0.0,2.2142832279205322,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.0731717,0.7324721,1.948016,0.27051362,1.0251426,0.0008862937451340258,1.0571795,0.528455,-0.13165992,0.14109139,28.3,1.008056640625,13.5
23,2.2098746299743652,0.0,2.19278621673584,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,0.99083835,0.6631517,1.7824271,0.25894934,0.9478005,0.0007976643915753812,1.0401467,0.5026491,-0.082182966,0.09175601,28.2,1.010498046875,13.5
24,2.4772908687591553,0.0,2.1688268184661865,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.1470865,0.8123711,2.113949,0.26348305,1.0975585,0.0007178979576565325,1.0865854,0.5353799,-0.09138692,0.11079696,28.3,1.010498046875,13.5
25,2.2654075622558594,0.0,2.1465914249420166,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.1002809,0.7685168,2.0142682,0.25980446,1.0541992,0.0006461081618908793,1.087546,0.5494186,-0.12885797,0.14134723,28.3,1.010498046875,13.5
26,2.288533926010132,0.0,2.128241777420044,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.1070387,0.7456854,1.9939864,0.28183028,1.0622907,0.0005814973614178598,1.071077,0.5271954,-0.12508194,0.14024742,28.2,1.010498046875,13.5
27,2.170198678970337,0.0,2.111006498336792,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.017686,0.6965875,1.8450875,0.2495465,0.9771099,0.0005233476462308317,1.08402,0.53034264,-0.07740941,0.08717289,28.3,1.010498046875,13.5
28,2.147878646850586,0.0,2.101499319076538,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.0101603,0.6958404,1.8357949,0.24343099,0.9705718,0.0004710128763690591,1.1163329,0.5408854,-0.08694459,0.1070415,28.3,1.010498046875,13.5
29,2.2544288635253906,0.0,2.0884647369384766,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.0830513,0.72779393,1.9468739,0.27465707,1.0415204,0.0004239115834934637,1.0898945,0.53778833,-0.07642436,0.088112466,28.1,1.010498046875,13.5
30,2.1427509784698486,0.0,2.077313184738159,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,1.0129473,0.70276934,1.845676,0.2391409,0.97415096,0.0003815204225247726,1.1500257,0.54908365,-0.085470416,0.10579664,28.2,1.010498046875,13.5
31,1.8949058055877686,0.0,2.068953514099121,0.0,0,0,1,0,0,0,1,1,1,1,0,0,False,0.92956525,0.6663252,1.7178522,0.2025139,0.8938309,0.0003433683828916401,1.1075549,0.55046725,-0.07467526,0.08638954,28.4,1.010498046875,13.5
