epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,1.3859531879425049,nan,1.3867039680480957,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.015248096,0.016036982,0.04408947,0.001483559,0.0072468463,0.0009000000427477062,0.25030473,0.023712426,0.0008246579,0.016812304,5.2,104.933837890625,42.7
1,1.3815279006958008,nan,1.3901622295379639,nan,0,0,0,0,1,0,1,1,1,1,0,0,False,0.015140873,0.014674738,0.045841604,0.0019052895,0.008087755,0.0008100000384729356,0.2501704,0.03564257,0.0019678022,0.014082265,4.7,105.02978515625,42.7
2,1.3742730617523193,nan,1.3923139572143555,nan,0,0,0,0,1,0,1,1,1,1,0,0,False,0.025807079,0.024412064,0.07687732,0.0032584444,0.015081435,0.0007290000503417104,0.2502875,0.047866203,0.0040164655,0.0064763925,4.5,105.2265625,42.7
3,1.3747951984405518,nan,1.3955965042114258,nan,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0221611,0.02247105,0.07316017,0.0018453249,0.011802478,0.0006561000715009868,0.24976163,0.060656916,0.0014508076,0.009441281,4.5,105.2265625,42.7
4,1.3703209161758423,nan,1.3994473218917847,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.021198628,0.020239986,0.059289914,0.0018834573,0.011100557,0.0005904900433961303,0.24937963,0.07287279,0.0065319287,0.0049898014,4.5,105.2265625,42.7
5,1.373540997505188,nan,1.4040592908859253,nan,0,0,0,0,1,0,1,1,1,1,0,0,False,0.01756538,0.016328095,0.053202298,0.0013751546,0.010782718,0.0005314410547725857,0.24864832,0.08361679,-0.0072545507,0.022881567,4.5,105.2265625,42.7
6,1.3564116954803467,nan,1.4085806608200073,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.02209888,0.015386257,0.049848616,0.003184268,0.016945925,0.00047829695977270604,0.2508663,0.09623545,0.0002262897,0.008114867,4.5,105.2265625,42.7
7,1.355238437652588,nan,1.4140114784240723,nan,0,0,0,0,1,0,1,1,1,1,0,0,False,0.025006408,0.021885492,0.07016864,0.0023111673,0.015554161,0.0004304672533180565,0.25234276,0.109272726,-0.00040695322,0.014548695,4.5,105.2265625,42.7
8,1.3627612590789795,nan,1.419885516166687,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.01848932,0.012003549,0.040436707,0.0019399747,0.016611047,0.00038742052274756136,0.2521902,0.118902326,-0.0015555022,0.015047344,4.5,105.2265625,42.7
9,1.3506464958190918,nan,1.425294041633606,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.021232579,0.015855439,0.045510378,0.0024304227,0.016089402,0.0003486784757114947,0.25347325,0.12717614,0.0026973276,0.009321022,4.4,105.2265625,42.7
10,1.333046317100525,nan,1.4298335313796997,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.030483771,0.018054387,0.0597203,0.0054938104,0.029013887,0.00031381062290165574,0.2565791,0.13483453,0.0064126635,0.008797588,4.5,105.2265625,42.7
11,1.352674126625061,nan,1.434965968132019,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.017709354,0.011261884,0.034247383,0.002103374,0.0145779755,0.0002824295632308349,0.25750974,0.14221376,0.002368816,0.013149376,5.2,105.2265625,42.7
12,1.3601081371307373,nan,1.438073754310608,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.025349015,0.019426798,0.064439125,0.0015868543,0.023014737,0.00025418660952709616,0.25743717,0.14543355,0.0037718564,0.0073808744,4.5,105.29345703125,42.7
